year,title,authors,outlet,link,topic,format
2020,Youtube als Sprungbrett für Politiker,Adrian Rauchfleisch,Die Volkswirtschaft,https://dievolkswirtschaft.ch/de/2020/10/youtube-als-sprungbrett-fuer-politiker/,Politics|Social Media,Articles & Commentary
2018,The invisible hand of the science market,"Marko Kovic, Adrian Rauchfleisch",Junge Akademie Magazin,http://magazin.diejungeakademie.de/en/invisible-hand_kovic_rauchfleisch_caspar/,Science Communication,Articles & Commentary
2018,"Die Devise «Publizieren oder untergehen» verführt Forscher, möglichst PR-trächtige Ergebnisse herzustellen","Marko Kovic, Adrian Rauchfleisch",NZZ,https://www.nzz.ch/meinung/wenn-wissenschaft-zur-hype-maschine-wird-ld.1371297,Science Communication,Articles & Commentary
2018,No-Billag-Fans provozieren die Gegner und dominieren die Debatte auf Twitter,"Adrian Rauchfleisch, Daniel Vogler",watson.ch,https://www.watson.ch/schweiz/billag/140021760-no-billag-fans-provozieren-die-gegner-und-dominieren-die-debatte-auf-twitter,Politics|Social Media,Articles & Commentary
2017,Schweizer Medien als neues «Westfernsehen»: Wie NZZ und Co. im Ausland vertwittert werden,"Adrian Rauchfleisch, Daniel Vogler",watson.ch,https://www.watson.ch/schweiz/digital/125374040-schweizer-medien-als-neues-westfernsehen-wie-nzz-und-co-im-ausland-vertwittert-werden,Journalism|Social Media,Articles & Commentary
2017,YouTubes Algorithmen sorgen dafür dass AfD-Fans unter sich bleiben,"Jonas Kaiser, Adrian Rauchfleisch",Motherboard Vice,https://motherboard.vice.com/de/article/59d98n/youtubes-algorithmen-sorgen-dafur-dass-afd-fans-unter-sich-bleiben,Politics|Social Media|Disinformation,Articles & Commentary
2017,Debatte zur #ES2050 auf Twitter: Linke und Rechte «schlagen» den Mainstream,"Daniel Vogler, Adrian Rauchfleisch",watson.ch,http://www.watson.ch/Digital/Schweiz/998755509-Debatte-zur--ES2050-auf-Twitter--Linke-und-Rechte-%C2%ABschlagen%C2%BB-den-Mainstream,Politics|Social Media,Articles & Commentary
2017,Gülsha Giacobbo und Co: Diese Tweets sorgten im Abstimmungskampf zur #ES2050 für Furore,"Daniel Vogler, Adrian Rauchfleisch",watson.ch,http://www.watson.ch/Schweiz/Best%20of%20watson/523618417-G%C3%BClsha--Giacobbo-und-Co--Diese-Tweets-sorgten-im-Abstimmungskampf-zur--ES2050-f%C3%BCr-Furore,Politics|Social Media,Articles & Commentary
2017,Das treibt Trumpisten an,"Marko Kovic, Adrian Rauchfleisch",Politblog,http://blog.tagesanzeiger.ch/politblog/index.php/67138/das-treibt-trumpisten-an/,Politics,Articles & Commentary
2016,Tweets in News-Medien: Schneller als die Ethik erlaubt,Adrian Rauchfleisch,NZZ,https://www.nzz.ch/feuilleton/medien/tweets-in-news-medien-schneller-als-die-ethik-erlaubt-ld.11137,Journalism|Social Media,Articles & Commentary
2015,Politiker auf Twitter: Sag es kurz und prägnant,"Adrian Rauchfleisch, Julia Metag",NZZ,https://www.nzz.ch/feuilleton/medien/sag-es-kurz-und-praegnant-1.18619683,Politics|Social Media,Articles & Commentary
2014,Katz-und-Maus-Spiel mit dem Zensor,"Mike S. Schäfer, Adrian Rauchfleisch",NZZ,https://www.nzz.ch/feuilleton/medien/katz-und-maus-spiel-mit-dem-zensor-1.18398344,Politics|Social Media,Articles & Commentary
2026,Regierung ringt bei Rechenzentren um Kurs,,Süddeutsche Zeitung,https://www.sz-dossier.de/dossiers/digitalwende/2026-02-24-regierung-ringt-bei-rechenzentren-um-kurs,AI|Politics,My Research in the Media
2025,How government use of AI could hurt democracy,,New Scientist,https://www.newscientist.com/article/2488095-how-government-use-of-ai-could-hurt-democracy/,AI|Politics,My Research in the Media
2022,Elon Musk's Twitter Bot Problem Is Fake News,,The Wall Street Journal,https://www.wsj.com/articles/elon-musks-twitter-bot-problem-is-fake-news-11652868000,Disinformation|Social Media,My Research in the Media
2022,Algorithmen als Sündenböcke,,Deutschlandfunk Kultur,https://www.deutschlandfunkkultur.de/rabbit-hole-effekt-radikalisierung-internet-suendenbock-algorithmus-100.html,Disinformation|Social Media,My Research in the Media
2022,Does banning extremists online work? It depends,,Vox,https://www.vox.com/recode/22913046/deplatforming-extremists-ban-qanon-proud-boys-boogaloo-oathkeepers-three-percenters-trump,Disinformation|Politics|Social Media,My Research in the Media
2022,Will Marjorie Taylor Greene's Twitter Suspension Matter?,,Rolling Stone,https://www.rollingstone.com/politics/politics-news/marjorie-taylor-greene-twitter-suspension-effective-1277806/,Politics|Disinformation|Social Media,My Research in the Media
2021,Banning extreme views on YouTube really does help stop their spread,,New Scientist,https://www.newscientist.com/article/2282089-banning-extreme-views-on-youtube-really-does-help-stop-their-spread/,Disinformation|Social Media,My Research in the Media
2021,Small fraction of professors 'dominate contact with media',,Times Higher Education,https://www.timeshighereducation.com/news/small-fraction-professors-dominate-contact-media,Science Communication,My Research in the Media
2021,Hass auf Twitter: Hilft Konten sperren weiter?,,Deutsche Welle,https://www.dw.com/de/hass-auf-twitter-hilft-konten-sperren-weiter/a-56200599,Disinformation|Social Media,My Research in the Media
2021,Wichtig richtig viel zu spät,,Zeit Online,https://www.zeit.de/digital/internet/2021-01/soziale-medien-us-kapitol-desinformationsforscher-harvard-jonas-kaiser,Disinformation|Politics|Social Media,My Research in the Media
2020,Angst vor den Bullshit-Bots,,DER SPIEGEL,https://www.spiegel.de/wissenschaft/technik/kuenstliche-intelligenz-angst-vor-den-bullshit-bots-a-00000000-0002-0001-0000-000173654801,AI|Disinformation,My Research in the Media
