year,title,authors,journal,link,pdf,code,topic,method,context,sjr,if
2026,"Artificial Intelligence in Election Campaigns: Perceptions, Penalties, and Implications","Andreas Jungherr, Adrian Rauchfleisch, Alexander Wuttke",Political Communication,https://doi.org/10.1080/10584609.2025.2611913,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/gheqz,AI|Politics|Public Opinion,Experiment|Statistical modelling|Survey Data,US,3.5,6.3
2025,Artificial Intelligence in Deliberation: The AI Penalty and the Emergence of a New Deliberative Divide,"Andreas Jungherr, Adrian Rauchfleisch",Government Information Quarterly,https://doi.org/10.1016/j.giq.2025.102079,files/pub/2025_jungherr_gov_inf_q.pdf,https://osf.io/5346r/,AI|Politics|Public Opinion,Experiment|Statistical modelling|Survey Data,Germany,2.5,7.8
2025,"Days, Schedules, and Attention: How Time Affects Mobile News Consumption Among Young Swiss People","Morley Weston, Daniel Vogler, Adrian Rauchfleisch, Pascal Jürgens, Mark Eisenegger",Mobile Media & Communication,https://doi.org/10.1177/20501579251376418,files/pub/2025_weston_mob_media_commun.pdf,,Journalism|Social Media,Statistical modelling|Survey Data|Platform Data,Switzerland,1.7,4.1
2025,Deepfakes or Synthetic Media? The Effect of Euphemisms for Labeling Technology on Risk and Benefit Perceptions,"Adrian Rauchfleisch, Daniel Vogler, Gabriele de Seta",Social Media + Society,https://doi.org/10.1177/20563051251350975,files/pub/2025_rauchfleisch_soc_media_soc.pdf,https://osf.io/mgf6b/,AI|Disinformation|Public Opinion,Experiment|Statistical modelling|Survey Data,Switzerland,2.2,5.8
2025,Explaining Public Preferences for Regulating Artificial Intelligence in Election Campaigns: Evidence from the U.S. and Taiwan,"Adrian Rauchfleisch, Andreas Jungherr, Alexander Wuttke",Telecommunications Policy,https://doi.org/10.1016/j.telpol.2025.103072,files/pub/2025_rauchfleisch_telecommun_policy.pdf,https://osf.io/jezr4/,AI|Politics|Public Opinion,Statistical modelling|Survey Data,US|Taiwan,1.4,5
2025,Extreme Weather Event Attribution Predicts Climate Policy Support Across the World,"Viktoria Cologna, et al.",Nature Climate Change,https://doi.org/10.1038/s41558-025-02372-4,files/pub/2025_cologna_nat_clim_change.pdf,https://doi.org/10.17605/OSF.IO/G23A7,Science Communication|Public Opinion,Statistical modelling|Survey Data,Cross-national,16.4,29.4
2025,"Perceptions of Science, Science Communication, and Climate Change Attitudes in 68 Countries – The TISP Dataset","Niels G. Mede, et al.",Scientific Data,https://doi.org/10.1038/s41597-024-04100-7,files/pub/2025_mede_sci_data.pdf,https://osf.io/5c3qd,Science Communication|Public Opinion,Survey Data,Cross-national,2.3,9.8
2025,Public Communication About Science in 68 Countries,"Niels G. Mede, et al.",Science Communication,https://doi.org/10.1177/10755470251376615,files/pub/2025_mede_sci_commun.pdf,https://osf.io/gvcfe/,Science Communication|Public Opinion|Social Media,Statistical modelling|Survey Data,Cross-national,1.7,4.8
2025,Public Opinion on the Politics of AI Alignment: Cross-National Evidence on Expectations for AI Moderation From Germany and the United States,"Andreas Jungherr, Adrian Rauchfleisch",Social Media + Society,https://doi.org/10.1177/20563051251405069,files/pub/2025_jungherr_soc_media_soc.pdf,https://osf.io/rpfbn,AI|Politics|Public Opinion,Statistical modelling|Survey Data,US|Germany,2.2,5.8
2025,Soft Disempowerment Dynamics in the 2022 FIFA World Cup,"Joshua Philip Suarez, Nikka Marie Sales, Adrian Rauchfleisch",Humanities and Social Sciences Communications,https://doi.org/10.1057/s41599-025-06062-6,files/pub/2025_suarez_hum_soc_sci_commun.pdf,https://osf.io/jymuq,Politics|Social Media|Public Opinion,Text Analysis|Statistical modelling|Platform Data,Cross-national,0.6,2
2025,The Short-Term Impact of an On-Site Literacy Intervention on Discerning Deepfake Videos Based on Visual Features,"Daniel Vogler, Adrian Rauchfleisch, Gabriele de Seta",Journalism & Mass Communication Quarterly,https://doi.org/10.1177/10776990251373088,files/pub/2025_vogler_journal_mass_commun_q.pdf,https://osf.io/tdxgb/,AI|Disinformation|Public Opinion,Experiment|Statistical modelling|Survey Data,Switzerland,1.1,3.1
2025,"Tracking the Roots of Low News Usage on Smartphones - Do Individual Interests, Political Attitudes, and Media Consumption Habits Affect the Mobile News Use of Young Adults?","Morley Weston, Daniel Vogler, Pascal Jürgens, Adrian Rauchfleisch, Mark Eisenegger",Journal of Broadcasting & Electronic Media,https://doi.org/10.1080/08838151.2025.2535389,files/pub/2025_weston_j_broadcast_electron_media.pdf,,Journalism|Social Media,Statistical modelling|Survey Data|Platform Data,Switzerland,0.9,3.1
2025,Trust in Scientists and Their Role in Society Across 68 Countries,"Viktoria Cologna, et al.",Nature Human Behaviour,https://doi.org/10.1038/s41562-024-02090-5,files/pub/2025_cologna_nat_hum_behav.pdf,https://osf.io/wj34h/,Science Communication|Public Opinion,Statistical modelling|Survey Data,Cross-national,8.6,22.8
2025,Winning and Losing with Artificial Intelligence: What Public Discourse About ChatGPT Tells Us About How Societies Make Sense of Technological Change,"Adrian Rauchfleisch, Joshua Philip Suarez, Nikka Marie Sales, Andreas Jungherr",Telematics and Informatics,https://doi.org/10.1016/j.tele.2025.102344,files/pub/2025_rauchfleisch_telemat_inform.pdf,https://osf.io/7rsv3/,AI|Social Media|Public Opinion,Text Analysis|Statistical modelling|Platform Data,Cross-national,1.5,7.6
2024,Blame and Obligation: The Importance of Libertarianism and Political Orientation in the Public Assessment of Disinformation in the United States,"Adrian Rauchfleisch, Andreas Jungherr",Policy & Internet,https://doi.org/10.1002/poi3.407,files/pub/2024_rauchfleisch_policy_internet.pdf,https://osf.io/ky63b/,Disinformation|Politics|Public Opinion,Experiment|Text Analysis|Statistical modelling|Survey Data,US,1.1,4.2
2024,Negative Downstream Effects of Alarmist Disinformation Discourse: Evidence from the United States,"Andreas Jungherr, Adrian Rauchfleisch",Political Behavior,https://doi.org/10.1007/s11109-024-09911-3,files/pub/2024_jungherr_polit_behav.pdf,https://osf.io/ycmsw/,Disinformation|Politics|Public Opinion,Experiment|Statistical modelling|Survey Data,US,2.1,3.8
